AI Survival World - Market Log
====================================


===== EPISODE 1 TRADE HISTORY =====
Step 200 | A → B | crops x5 @ 4.01
Step 200 | A → C | crops x4 @ 4.01
Step 200 | B → A | woods x5 @ 3.28
Step 200 | B → C | woods x2 @ 3.28
Step 400 | A → B | crops x5 @ 3.21
Step 400 | B → A | woods x5 @ 2.65
Step 600 | B → C | woods x1 @ 2.15
Step 600 | B → A | woods x5 @ 2.15
=============================================

===== EPISODE 2 TRADE HISTORY =====
Step 200 | A → B | crops x5 @ 4.01
Step 200 | A → C | crops x4 @ 4.01
Step 200 | B → A | woods x5 @ 3.28
Step 200 | B → C | woods x2 @ 3.28
Step 400 | A → B | crops x5 @ 3.21
Step 400 | B → A | woods x5 @ 2.65
Step 600 | B → C | woods x1 @ 2.15
Step 600 | B → A | woods x5 @ 2.15
Step 800 | A → B | crops x5 @ 2.07
Step 800 | B → A | woods x2 @ 1.74
Step 1000 | A → B | crops x5 @ 1.66
Step 1000 | B → A | woods x3 @ 1.44
Step 1200 | B → A | woods x5 @ 1.44
Step 1400 | B → A | woods x5 @ 1.28
Step 2600 | B → A | woods x5 @ 0.67
Step 2800 | B → A | woods x5 @ 0.67
Step 3000 | B → A | woods x5 @ 0.67
Step 3200 | A → B | crops x1 @ 13.32
Step 3200 | B → A | woods x5 @ 0.67
Step 3400 | A → B | crops x2 @ 12.16
Step 3400 | B → A | woods x5 @ 0.67
Step 3600 | A → B | crops x2 @ 9.84
Step 3600 | B → A | woods x5 @ 0.67
Step 3800 | B → A | woods x5 @ 0.67
Step 4000 | A → B | crops x1 @ 6.55
Step 4000 | B → A | woods x5 @ 0.67
Step 4200 | B → A | woods x5 @ 0.67
Step 4400 | A → B | crops x1 @ 4.49
Step 4400 | B → A | woods x5 @ 0.67
Step 4600 | A → B | crops x1 @ 4.49
Step 4600 | B → A | woods x5 @ 0.67
Step 4800 | A → B | crops x1 @ 3.76
Step 4800 | B → A | woods x5 @ 0.67
Step 5000 | A → B | crops x1 @ 3.21
Step 5000 | B → A | woods x5 @ 0.67
Step 5200 | A → B | crops x1 @ 4.07
Step 5200 | B → A | woods x5 @ 0.67
Step 5400 | B → A | woods x5 @ 0.67
Step 5600 | A → B | crops x1 @ 6.2
Step 5600 | B → A | woods x5 @ 0.67
Step 5800 | B → A | woods x5 @ 0.67
Step 6000 | A → B | crops x1 @ 7.04
Step 6000 | B → A | woods x5 @ 0.67
Step 6200 | B → A | woods x5 @ 0.67
Step 6400 | A → B | crops x1 @ 4.73
Step 6400 | B → A | woods x5 @ 0.67
Step 6600 | A → B | crops x1 @ 3.93
Step 6600 | B → A | woods x5 @ 0.67
Step 6800 | A → B | crops x1 @ 3.31
Step 6800 | B → A | woods x5 @ 0.67
Step 7000 | A → B | crops x1 @ 3.31
Step 7000 | B → A | woods x5 @ 0.67
Step 7200 | A → B | crops x1 @ 3.15
Step 7200 | B → A | woods x5 @ 0.67
Step 7400 | A → B | crops x1 @ 3.15
Step 7400 | B → A | woods x5 @ 0.67
Step 7600 | A → B | crops x2 @ 2.66
Step 7600 | B → A | woods x5 @ 0.67
Step 7800 | A → B | crops x1 @ 2.33
Step 7800 | B → A | woods x5 @ 0.67
Step 8000 | A → B | crops x2 @ 2.11
Step 8000 | B → A | woods x5 @ 0.67
Step 8200 | A → B | crops x1 @ 2.19
Step 8200 | B → A | woods x5 @ 0.67
Step 8400 | A → B | crops x2 @ 2.19
Step 8400 | B → A | woods x5 @ 0.67
Step 8600 | A → B | crops x1 @ 1.95
Step 8600 | B → A | woods x5 @ 0.67
Step 8800 | A → B | crops x2 @ 1.81
Step 8800 | B → A | woods x5 @ 0.67
Step 9000 | A → B | crops x1 @ 1.95
Step 9000 | B → A | woods x5 @ 0.67
Step 9200 | A → B | crops x1 @ 2.56
Step 9200 | B → A | woods x5 @ 0.67
Step 9400 | A → B | crops x3 @ 2.15
Step 9400 | B → A | woods x5 @ 0.67
Step 9600 | A → B | crops x1 @ 1.86
Step 9600 | B → A | woods x5 @ 0.67
Step 9800 | A → B | crops x3 @ 1.66
Step 9800 | B → A | woods x5 @ 0.67
=============================================
